x,y,edition_count,geo_tiff_count,tile_id
57,-41,8,8,4057
57,-42,8,8,4157
57,-43,7,7,4257
57,-44,9,9,4357
57,-45,13,13,4457
57,-46,9,9,4557
57,-47,13,13,4657
57,-48,14,14,4757
57,-49,10,8,4857
57,-50,8,8,4957
57,-51,7,7,5057
57,-52,6,6,5157
57,-53,8,8,5257
57,-54,3,3,5357
57,-55,6,6,5457
57,-56,4,4,5557
57,-57,5,5,5657
57,-58,6,6,5757
57,-59,5,5,5857
57,-60,6,6,5957
57,-61,4,4,6057
57,-62,4,4,6157
57,-63,3,3,6257
57,-64,5,5,6357
57,-65,4,4,6457
57,-66,4,4,6557
57,-67,5,5,6657
57,-68,4,4,6757
57,-69,3,3,6857
57,-70,3,3,6957
58,-39,7,7,3858
58,-40,6,6,3958
58,-41,6,6,4058
58,-42,7,7,4158
58,-43,9,9,4258
58,-44,8,8,4358
58,-45,7,7,4458
58,-46,8,7,4558
58,-47,11,10,4658
58,-48,11,11,4758
58,-49,9,9,4858
58,-50,7,7,4958
58,-51,5,5,5058
58,-52,4,4,5158
58,-53,4,4,5258
58,-54,4,4,5358
58,-55,6,6,5458
58,-56,5,5,5558
58,-57,5,5,5658
58,-58,6,5,5758
58,-59,6,5,5858
58,-60,6,6,5958
58,-61,5,5,6058
58,-62,5,5,6158
58,-63,5,5,6258
58,-64,4,4,6358
58,-65,4,3,6458
58,-66,3,3,6558
58,-67,4,4,6658
58,-68,5,5,6758
58,-69,4,4,6858
58,-70,2,2,6958
59,-39,7,7,3859
59,-40,8,8,3959
59,-41,9,9,4059
59,-42,9,9,4159
59,-43,9,9,4259
59,-44,9,9,4359
59,-45,9,8,4459
59,-46,6,6,4559
59,-47,6,6,4659
59,-48,6,6,4759
59,-49,8,7,4859
59,-50,13,13,4959
59,-51,4,4,5059
59,-52,4,4,5159
59,-53,4,3,5259
59,-54,5,5,5359
59,-55,7,7,5459
59,-56,5,5,5559
59,-57,6,6,5659
59,-58,7,7,5759
59,-59,5,4,5859
59,-60,6,6,5959
59,-61,4,4,6059
59,-62,4,4,6159
59,-63,5,5,6259
59,-64,4,3,6359
59,-65,5,5,6459
59,-66,4,4,6559
59,-67,4,4,6659
59,-68,4,4,6759
59,-69,4,4,6859
59,-70,4,4,6959
60,-32,1,1,3160
60,-40,2,2,3960
60,-41,10,9,4060
60,-42,8,8,4160
60,-43,9,7,4260
60,-44,9,9,4360
60,-45,6,6,4460
60,-46,7,7,4560
60,-47,6,6,4660
60,-48,8,8,4760
60,-49,7,7,4860
60,-50,6,5,4960
60,-51,6,6,5060
60,-52,6,6,5160
60,-53,6,5,5260
60,-54,5,5,5360
60,-55,5,5,5460
60,-56,5,3,5560
60,-57,6,6,5660
60,-58,6,6,5760
60,-59,5,5,5860
60,-60,6,6,5960
60,-61,4,4,6060
60,-62,4,4,6160
60,-63,6,6,6260
60,-64,4,4,6360
60,-65,4,4,6460
60,-66,5,5,6560
60,-67,4,4,6660
60,-68,5,5,6760
60,-69,4,4,6860
60,-70,4,4,6960
61,-32,1,1,3161
61,-33,1,1,3261
61,-36,1,1,3561
61,-41,8,7,4061
61,-42,8,8,4161
61,-43,7,6,4261
61,-44,8,8,4361
61,-45,7,7,4461
