x,y,name
43,-25,2443
43,-26,2543
43,-27,2643
43,-28,2743
43,-29,2843
43,-30,2943
43,-31,3043
43,-32,3143
43,-33,3243
43,-34,3343
43,-35,3443
43,-36,3543
43,-37,3643
43,-38,3743
43,-39,3843
43,-40,3943
43,-41,4043
43,-42,4143
43,-43,4243
43,-44,4343
43,-45,4443
43,-46,4543
43,-47,4643
43,-48,4743
43,-49,4843
43,-50,4943
43,-51,5043
43,-52,5143
43,-53,5243
43,-54,5343
43,-55,5443
43,-56,5543
43,-57,5643
43,-58,5743
43,-59,5843
43,-60,5943
43,-61,6043
43,-62,6143
43,-63,6243
43,-64,6343
43,-65,6443
43,-66,6543
43,-67,6643
43,-68,6743
43,-69,6843
43,-70,6943
43,-71,7043
43,-72,7143
43,-73,7243
43,-74,7343
43,-75,7443
43,-76,7543
43,-77,7643
43,-78,7743
43,-79,7843
43,-80,7943
44,-25,2444
44,-26,2544
44,-27,2644
44,-28,2744
44,-29,2844
44,-30,2944
44,-31,3044
44,-32,3144
44,-33,3244
44,-34,3344
44,-35,3444
44,-36,3544
44,-37,3644
44,-38,3744
44,-39,3844
44,-40,3944
44,-41,4044
44,-42,4144
44,-43,4244
44,-44,4344
44,-45,4444
44,-46,4544
44,-47,4644
44,-48,4744
44,-49,4844
44,-50,4944
44,-51,5044
44,-52,5144
44,-53,5244
44,-54,5344
44,-55,5444
44,-56,5544
44,-57,5644
44,-58,5744
44,-59,5844
44,-60,5944
44,-61,6044
44,-62,6144
44,-63,6244
44,-64,6344
44,-65,6444
44,-66,6544
44,-67,6644
44,-68,6744
44,-69,6844
44,-70,6944
44,-71,7044
44,-72,7144
44,-73,7244
44,-74,7344
44,-75,7444
44,-76,7544
44,-77,7644
44,-78,7744
44,-79,7844
44,-80,7944
45,-25,2445
45,-26,2545
45,-27,2645
45,-28,2745
45,-29,2845
45,-30,2945
45,-31,3045
45,-32,3145
45,-33,3245
45,-34,3345
45,-35,3445
45,-36,3545
45,-37,3645
45,-38,3745
45,-39,3845
45,-40,3945
45,-41,4045
45,-42,4145
45,-43,4245
45,-44,4345
45,-45,4445
45,-46,4545
45,-47,4645
45,-48,4745
45,-49,4845
45,-50,4945
45,-51,5045
45,-52,5145
45,-53,5245
45,-54,5345
45,-55,5445
45,-56,5545
45,-57,5645
45,-58,5745
45,-59,5845
45,-60,5945
45,-61,6045
45,-62,6145
45,-63,6245
45,-64,6345
45,-65,6445
45,-66,6545
45,-67,6645
45,-68,6745
45,-69,6845
45,-70,6945
45,-71,7045
45,-72,7145
45,-73,7245
45,-74,7345
45,-75,7445
45,-76,7545
45,-77,7645
45,-78,7745
45,-79,7845
45,-80,7945
46,-25,2446
46,-26,2546
46,-27,2646
46,-28,2746
46,-29,2846
46,-30,2946
46,-31,3046
46,-32,3146
46,-33,3246
46,-34,3346
46,-35,3446
46,-36,3546
46,-37,3646
46,-38,3746
46,-39,3846
46,-40,3946
46,-41,4046
46,-42,4146
46,-43,4246
46,-44,4346
46,-45,4446
46,-46,4546
46,-47,4646
46,-48,4746
46,-49,4846
46,-50,4946
46,-51,5046
46,-52,5146
46,-53,5246
46,-54,5346
46,-55,5446
46,-56,5546
46,-57,5646
46,-58,5746
46,-59,5846
46,-60,5946
46,-61,6046
46,-62,6146
46,-63,6246
46,-64,6346
46,-65,6446
46,-66,6546
46,-67,6646
46,-68,6746
46,-69,6846
46,-70,6946
46,-71,7046
46,-72,7146
46,-73,7246
46,-74,7346
46,-75,7446
46,-76,7546
46,-77,7646
46,-78,7746
46,-79,7846
46,-80,7946
47,-25,2447
47,-26,2547
47,-27,2647
47,-28,2747
47,-29,2847
47,-30,2947
47,-31,3047
47,-32,3147
47,-33,3247
47,-34,3347
47,-35,3447
47,-36,3547
47,-37,3647
47,-38,3747
47,-39,3847
47,-40,3947
47,-41,4047
47,-42,4147
47,-43,4247
47,-44,4347
47,-45,4447
47,-46,4547
47,-47,4647
47,-48,4747
47,-49,4847
47,-50,4947
47,-51,5047
47,-52,5147
47,-53,5247
47,-54,5347
47,-55,5447
47,-56,5547
47,-57,5647
47,-58,5747
47,-59,5847
47,-60,5947
47,-61,6047
47,-62,6147
47,-63,6247
47,-64,6347
47,-65,6447
47,-66,6547
47,-67,6647
47,-68,6747
47,-69,6847
47,-70,6947
47,-71,7047
47,-72,7147
47,-73,7247
47,-74,7347
47,-75,7447
47,-76,7547
47,-77,7647
47,-78,7747
47,-79,7847
47,-80,7947
48,-25,2448
48,-26,2548
48,-27,2648
48,-28,2748
48,-29,2848
48,-30,2948
48,-31,3048
48,-32,3148
48,-33,3248
48,-34,3348
48,-35,3448
48,-36,3548
48,-37,3648
48,-38,3748
48,-39,3848
48,-40,3948
48,-41,4048
48,-42,4148
48,-43,4248
48,-44,4348
48,-45,4448
48,-46,4548
48,-47,4648
48,-48,4748
48,-49,4848
48,-50,4948
48,-51,5048
48,-52,5148
48,-53,5248
48,-54,5348
48,-55,5448
48,-56,5548
48,-57,5648
48,-58,5748
48,-59,5848
48,-60,5948
48,-61,6048
48,-62,6148
48,-63,6248
48,-64,6348
48,-65,6448
48,-66,6548
48,-67,6648
48,-68,6748
48,-69,6848
48,-70,6948
48,-71,7048
48,-72,7148
48,-73,7248
48,-74,7348
48,-75,7448
48,-76,7548
48,-77,7648
48,-78,7748
48,-79,7848
48,-80,7948
49,-25,2449
49,-26,2549
49,-27,2649
49,-28,2749
49,-29,2849
49,-30,2949
49,-31,3049
49,-32,3149
49,-33,3249
49,-34,3349
49,-35,3449
49,-36,3549
49,-37,3649
49,-38,3749
49,-39,3849
49,-40,3949
49,-41,4049
49,-42,4149
49,-43,4249
49,-44,4349
49,-45,4449
49,-46,4549
49,-47,4649
49,-48,4749
49,-49,4849
49,-50,4949
49,-51,5049
49,-52,5149
49,-53,5249
49,-54,5349
49,-55,5449
49,-56,5549
49,-57,5649
49,-58,5749
49,-59,5849
49,-60,5949
49,-61,6049
49,-62,6149
49,-63,6249
49,-64,6349
49,-65,6449
49,-66,6549
49,-67,6649
49,-68,6749
49,-69,6849
49,-70,6949
49,-71,7049
49,-72,7149
49,-73,7249
49,-74,7349
49,-75,7449
49,-76,7549
49,-77,7649
49,-78,7749
49,-79,7849
49,-80,7949
50,-25,2450
50,-26,2550
50,-27,2650
50,-28,2750
50,-29,2850
50,-30,2950
50,-31,3050
50,-32,3150
50,-33,3250
50,-34,3350
50,-35,3450
50,-36,3550
50,-37,3650
50,-38,3750
50,-39,3850
50,-40,3950
50,-41,4050
50,-42,4150
50,-43,4250
50,-44,4350
50,-45,4450
50,-46,4550
50,-47,4650
50,-48,4750
50,-49,4850
50,-50,4950
50,-51,5050
50,-52,5150
50,-53,5250
50,-54,5350
50,-55,5450
50,-56,5550
50,-57,5650
50,-58,5750
50,-59,5850
50,-60,5950
50,-61,6050
50,-62,6150
50,-63,6250
50,-64,6350
50,-65,6450
50,-66,6550
50,-67,6650
50,-68,6750
50,-69,6850
50,-70,6950
50,-71,7050
50,-72,7150
50,-73,7250
50,-74,7350
50,-75,7450
50,-76,7550
50,-77,7650
50,-78,7750
50,-79,7850
50,-80,7950
51,-25,2451
51,-26,2551
51,-27,2651
51,-28,2751
51,-29,2851
51,-30,2951
51,-31,3051
51,-32,3151
51,-33,3251
51,-34,3351
51,-35,3451
